                SCET                 WaveType  Rec.    Event_N       frlow_Peak     fhigh_Peak       Bxavg          Byavg          Bzavg          Bxrms          Byrms          Bzrms          Bx_pk          By_pk          Bz_pk          Exavg          Eyavg          Ezavg          Exrms          Eyrms          Ezrms          Ex_pk          Ey_pk          Ez_pk          B3_GSE_X       B3_GSE_Y       B3_GSE_Z       B3_GSM_X       B3_GSM_Y       B3_GSM_Z          Bmg          W_RAD_DIS       W_LSHELL        W_MLT      X_GSE_POS      Y_GSE_POS      Z_GSE_POS      X_GSM_POS      Y_GSM_POS      Z_GSM_POS       AE_INDEX          N_I3           N_PH        T_AVG_EL       T_AVG_EH       TPARA_EL       TPERP_EL       TPARA_EH       TPERP_EH       TANIS_EL       TANIS_EH       EVENT_LENGTH

       1998-10-26/15:24:04.250      Whistlers  TDSF   004514985          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.17764e-08   -1.88475e-09    0.00000e+00    3.02233e-01    3.09417e-01    0.00000e+00    1.12447e+00    1.35844e+00    0.00000e+00        -13.587         10.078         42.580        -13.694         25.793         35.305         45.818         10.490         11.902          8.620      38743.131     -54407.330       3931.841      38743.131     -48565.672      24839.332            NaN          0.017          0.347        192.051       1749.913        186.400        194.877       1434.858       1907.441          1.046          1.329      1.09173000e+00


       1998-11-13/22:35:10.512      Whistlers  TDSF   005927559          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -1.35093e-06   -6.98060e-07    0.00000e+00    6.96190e-01    7.43263e-01    0.00000e+00    3.80862e+00    3.73852e+00    0.00000e+00        -13.723         -3.691         46.727        -13.890         -0.515         46.820         48.840         10.237         10.279          7.402      21222.467     -61454.187       6020.463      21222.467     -60866.545      10398.399        745.043          0.024          0.512        226.390       1702.370        265.782        206.695       1564.541       1771.284          0.778          1.132      1.09173000e+00

       2000-04-09/21:18:47.129      Whistlers  TDSF   027488577          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.05292e-06   -4.59271e-06    0.00000e+00    5.54851e-01    5.80730e-01    0.00000e+00    1.98936e+00    1.92837e+00    0.00000e+00         21.570        -46.867         21.223         21.668        -50.955         -6.802         55.787         11.445         14.130         18.676      -4794.328      72622.918      -5671.601      -4794.328      64588.177      33684.248        770.145          0.002          0.023         53.610        159.025         69.243         45.793        191.814        142.630          0.681          0.767      2.72933000e-01




;-----------------------------------------------------------------------------------------
; => Radiation Belts
;-----------------------------------------------------------------------------------------
       1998-11-13/16:37:50.221      Whistlers  TDSF   005861680       1000.000       2000.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.78237e-04    9.53050e-05    0.00000e+00    8.69654e-01    7.09606e-01    0.00000e+00    2.76121e+00    2.58017e+00    0.00000e+00       -265.657        205.502        245.139       -266.307        261.140        183.806        415.810          4.072          4.246         20.907     -16568.719      19783.353      -3001.176     -16568.719      18347.922      -7983.606        795.251         79.290         65.276         74.663       1227.729         66.787         78.601       1117.659       1282.764          1.178          1.147      2.72933000e-01
       1998-11-13/16:44:38.333      Whistlers  TDSF   005863014       1500.000       3000.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -5.33312e-06    4.50360e-06    0.00000e+00    1.94181e-01    1.60739e-01    0.00000e+00    1.06285e+00    1.00952e+00    0.00000e+00       -296.795        172.705        272.646       -297.522        235.226        220.000        438.464          3.944          4.072         21.209     -17553.415      17787.970      -2990.299     -17553.415      16463.141      -7369.672        848.528        147.414        103.999         81.696       1328.902         74.660         85.214       1197.521       1394.593          1.141          1.165      2.72933000e-01
       1998-11-13/18:10:06.775      Whistlers  TDSF   005879464       1800.000       3500.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -2.56736e-03   -4.11786e-04    0.00000e+00    2.22343e+01    2.35839e+01    0.00000e+00    9.09339e+01    1.23217e+02    0.00000e+00        236.513         55.158        404.569        235.345        129.006        388.107        471.866          3.702          3.761          1.911     -20785.695     -11096.634      -1618.312     -20785.695     -11203.468        481.907        533.968        217.385        156.112        131.239       1086.471        129.807        131.955        878.837       1190.288          1.017          1.354      2.72933000e-01
       1998-11-13/18:10:09.352      Whistlers  TDSF   005879470       2000.000       3500.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -2.15877e-03    1.50546e-03    0.00000e+00    1.96663e+01    1.48886e+01    0.00000e+00    8.91323e+01    8.28400e+01    0.00000e+00        236.464         55.993        404.281        235.296        129.762        387.674        471.692          3.702          3.761          1.914     -20782.362     -11110.829      -1617.096     -20782.362     -11217.206        485.378        535.858        217.310        156.086        131.058       1084.426        129.621        131.776        877.210       1188.034          1.017          1.354      2.72933000e-01
       1998-11-13/18:10:54.989      Whistlers  TDSF   005879625       1800.000       3600.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.67961e-04    2.65456e-06    0.00000e+00    9.60665e+00    7.41964e+00    0.00000e+00    3.85746e+01    3.55095e+01    0.00000e+00        242.338         54.049        399.407        241.184        126.738        383.331        470.292          3.713          3.777          1.954     -20722.560     -11361.738      -1595.503     -20722.560     -11460.071        546.666        569.325        217.018        155.793        128.849       1062.023        127.244        129.652        857.379       1164.345          1.019          1.358      2.72933000e-01
       1998-11-13/18:15:07.431      Whistlers  TDSF   005880469       1500.000       3000.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -1.65209e-03    1.36876e-03    0.00000e+00    1.39017e+01    1.44406e+01    0.00000e+00    8.88250e+01    1.20548e+02    0.00000e+00        246.474         93.695        380.877        245.368        161.183        358.343        463.244          3.774          3.875          2.172     -20380.650     -12742.411      -1475.271     -20380.650     -12796.867        882.790        521.399        188.529        141.280        122.318       1193.949        119.329        123.812        958.281       1311.783          1.038          1.369      2.72933000e-01
       1998-11-13/18:15:36.141      Whistlers  TDSF   005880558       1500.000       3000.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.08431e-03   -1.28113e-03    0.00000e+00    2.78955e+01    3.19416e+01    0.00000e+00    1.10306e+02    1.70379e+02    0.00000e+00        242.877         95.212        381.480        241.769        162.655        358.709        462.149          3.781          3.887          2.197     -20339.439     -12898.112      -1461.420     -20339.439     -12947.699        920.467        511.351        185.804        141.081        123.087       1208.402        119.902        124.679        963.270       1330.969          1.040          1.382      2.72933000e-01
       1998-11-13/18:17:41.629      Whistlers  TDSF   005880971       1500.000       2800.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -8.02831e-04    8.46729e-05    0.00000e+00    7.48958e+00    4.25959e+00    0.00000e+00    4.17896e+01    2.73506e+01    0.00000e+00        231.789        123.730        380.829        230.680        190.036        353.184        462.672          3.814          3.942          2.303     -20152.564     -13574.539      -1400.385     -20152.564     -13603.211       1083.454        520.570        194.805        141.354        127.349       1206.299        120.852        130.597        955.770       1331.564          1.081          1.393      2.72933000e-01
       1998-11-13/18:18:53.754      Whistlers  TDSF   005881202       1100.000       2900.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -1.22986e-03    1.11784e-03    0.00000e+00    1.47436e+01    1.08131e+01    0.00000e+00    8.30913e+01    9.16870e+01    0.00000e+00        224.172        123.503        382.415        223.057        189.780        354.931        460.160          3.833          3.974          2.363     -20040.351     -13960.205      -1364.961     -20040.351     -13977.127       1175.868        511.770        195.199        139.817        128.339       1289.829        121.678        131.670       1015.072       1427.207          1.082          1.406      2.72933000e-01
       1998-11-13/18:19:09.946      Whistlers  TDSF   005881254       1000.000       2500.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -1.26130e-03    3.10791e-04    0.00000e+00    2.35444e+01    1.85522e+01    0.00000e+00    1.21424e+02    1.39214e+02    0.00000e+00        224.088        123.033        381.920        222.974        189.159        354.566        459.582          3.837          3.981          2.376     -20014.693     -14046.467      -1356.977     -20014.693     -14060.778       1196.486        502.375        194.683        137.777        125.973       1318.978        119.552        129.184       1040.446       1458.244          1.080          1.402      2.72933000e-01
