               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     TITLE                    ISTP WIND spin phase CDF
     PROJECT                  ISTP>International Solar-Terrestrial Physics
     DISCIPLINE               Space Physics
     SOURCE_NAME              WIND>Wind Interplanetary Plasma Laboratory
     DATA_VERSION             1
     DATA_TYPE                K0>Key Parameter
     DESCRIPTOR               SPHA>Spin Phase
     START_DATE               1995-10-10T00:03:10.190Z
     END_DATE                 1995-10-10T23:59:30.190Z
     ADID_REF                 NSSD0137
     LOGICAL_FILE_ID          WI_K0_SPHA_19951010_V01
     TEXT                     To be supplied
     MODS                     12/17/92 - Original Implementation, CCR 87
                              6/14/94 - CCR ISTP 1852, updated CDHF skeleton to CDF standards - JT
                              11/9/94 - Correct errors made in ccr 1852.  CCR 1884
     LOGICAL_SOURCE           WI_K0_SPHA
     LOGICAL_SOURCE_DESCR     Wind Spin Phase
     INSTRUMENT_TYPE          Ephemeris
     NSSDC_ID                 xxno-00354
     ALT_LOGICAL_SOURCE       Wind_Spin-Phase_Key-Parameters-K0_92sec_cdf
     MISSION_GROUP            Wind
                              !___Interplanetary Data near 1 AU

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Spin phase EPOCH time
 2. Spin phase angle
 3. Average spin rate
 4. Std dev of spin rate

EPOCH                        SP_ANGLE    AVG_SPN_RT    STDV_SPN_R
dd-mm-yyyy hh:mm:ss.ms            rad       rad/sec       rad/sec
03-04-1996 00:57:14.550       2.16606       1.98833   0.00000E+00
03-04-1996 00:58:00.550       5.66881       1.98833   0.00000E+00
03-04-1996 00:58:46.550       2.88851       1.98833   0.00000E+00
03-04-1996 00:59:32.550       0.10821       1.98833   0.00000E+00
03-04-1996 01:00:18.550       3.61093       1.98833   0.00000E+00
03-04-1996 01:01:04.550       0.83062       1.98833   0.00000E+00
03-04-1996 01:01:50.550       4.33334       1.98833   0.00000E+00
03-04-1996 01:02:36.550       1.55304       1.98833   0.00000E+00
03-04-1996 01:03:22.550       5.05563       1.98833   0.00000E+00
03-04-1996 01:04:08.550       2.27536       1.98833   0.00000E+00
03-04-1996 01:04:54.550       5.77805       1.98833   0.00000E+00
03-04-1996 01:05:40.550       2.99774       1.98833   0.00000E+00
03-04-1996 01:06:26.550       0.21760       1.98833   0.00000E+00
03-04-1996 01:07:12.550       3.72019       1.98833   0.00000E+00
03-04-1996 01:07:58.550       0.93989       1.98833   0.00000E+00
03-04-1996 01:08:44.550       4.44261       1.98833   0.00000E+00
03-04-1996 01:09:30.550       1.66230       1.98833   0.00000E+00
03-04-1996 01:10:16.550       5.16502       1.98833   0.00000E+00
03-04-1996 01:11:02.550       2.38472       1.98833   0.00000E+00
03-04-1996 01:11:48.550       5.88737       1.98833   0.00000E+00
03-04-1996 01:12:34.550       3.10716       1.98833   0.00000E+00
03-04-1996 01:13:20.550       0.32686       1.98833   0.00000E+00
03-04-1996 01:14:06.550       3.82958       1.98833   0.00000E+00
03-04-1996 01:14:52.550       1.04928       1.98833   0.00000E+00
03-04-1996 01:15:38.550       4.55190       1.98833   0.00000E+00
03-04-1996 01:16:24.550       1.77172       1.98833   0.00000E+00
03-04-1996 01:17:10.550       5.27429       1.98833   0.00000E+00
03-04-1996 01:17:56.550       2.49414       1.98833   0.00000E+00
03-04-1996 01:18:42.550       5.99673       1.98833   0.00000E+00
03-04-1996 01:19:28.550       3.21643       1.98833   0.00000E+00
03-04-1996 01:20:14.550       0.43625       1.98833   0.00000E+00
03-04-1996 01:21:00.550       3.93884       1.98833   0.00000E+00
03-04-1996 01:21:46.550       1.15870       1.98833   0.00000E+00
03-04-1996 01:22:32.550       4.66126       1.98833   0.00000E+00
03-04-1996 01:23:18.550       1.88096       1.98833   0.00000E+00
03-04-1996 01:24:04.550       5.38371       1.98833   0.00000E+00
03-04-1996 01:24:50.550       2.60340       1.98833   0.00000E+00
03-04-1996 01:25:36.550       6.10596       1.98833   0.00000E+00
03-04-1996 01:26:22.550       3.32582       1.98833   0.00000E+00
03-04-1996 01:27:08.550       0.54552       1.98833   0.00000E+00
03-04-1996 01:27:54.550       4.04823       1.98833   0.00000E+00
03-04-1996 01:28:40.550       1.26793       1.98833   0.00000E+00
03-04-1996 01:29:26.550       4.77052       1.98833   0.00000E+00
03-04-1996 01:30:12.550       1.99038       1.98833   0.00000E+00
03-04-1996 01:30:58.550       5.49297       1.98833   0.00000E+00
03-04-1996 01:31:44.550       2.71270       1.98833   0.00000E+00
03-04-1996 01:32:30.550       6.21538       1.98833   0.00000E+00
03-04-1996 01:33:16.550       3.43508       1.98833   0.00000E+00
03-04-1996 01:34:02.550       0.65494       1.98833   0.00000E+00
03-04-1996 01:34:48.550       4.15750       1.98833   0.00000E+00
03-04-1996 01:35:34.550       1.37720       1.98833   0.00000E+00
03-04-1996 01:36:20.550       4.87994       1.98833   0.00000E+00
03-04-1996 01:37:06.550       2.09964       1.98833   0.00000E+00
03-04-1996 01:37:52.550       5.60227       1.98833   0.00000E+00
03-04-1996 01:38:38.550       2.82206       1.98833   0.00000E+00
03-04-1996 01:39:24.550       0.04175       1.98833   0.00000E+00
03-04-1996 01:40:10.550       3.54447       1.98833   0.00000E+00
