;  1995-05-11/17:37:45  12   PESA change: esa_mcpl              ab a4
;1995-05-11/17:37:00     .5   1.e-6    ;*  
;  1995-05-12/14:17:34  12   PESA change: esa_mcpl              a4 ab
;1995-05-12/14:17:00     .5   1.e-6    ;*   

;  1995-05-16/02:00:17  12   PESA change: esa_mcpl              ab a7
;  1995-05-16/02:13:10  12   PESA change: esa_mcpl              a7 ab
;  1995-05-16/02:26:02  12   PESA change: esa_mcpl              ab ae
;  1995-05-16/02:38:55  12   PESA change: esa_mcpl              ae b2
;  1995-05-16/02:51:47  12   PESA change: esa_mcpl              b2 ab
;  1995-05-16/03:04:40  12   PESA change: esa_mcpl              ab a7
;  1995-05-16/03:17:32  12   PESA change: esa_mcpl              a7 ab
;  1995-05-16/03:30:25  12   PESA change: esa_mcpl              ab b2
;  1995-05-16/03:43:17  12   PESA change: esa_mcpl              b2 ab
1995-05-23/00:00:00     .9   3.e-6 
;  1995-06-11/02:40:44  12   PESA change: esa_mcpl              ab 00
;  1995-06-11/04:04:58  12   PESA change: esa_mcpl              00 ab

;  1995-06-16/02:38:11  12   PESA change: esa_mcpl              ab 00
;  1995-06-16/04:05:00  12   PESA change: esa_mcpl              00 ab

;  1995-07-06/02:04:19  12   PESA change: esa_mcpl              ab 00
;  1995-07-06/03:08:46  12   PESA change: esa_mcpl              00 ab

1995-10-18/00:00:00     .6   3.e-6 
;  The following date should be set earlier!
1996-01-08/00:00:00     .4   3.e-6      

;  1996-01-27/02:12:30  12   PESA change: esa_mcpl              ab b2
;  1996-01-27/02:25:36  12   PESA change: esa_mcpl              b2 b6
;  1996-01-27/02:38:42  12   PESA change: esa_mcpl              b6 ba
;  1996-01-27/02:51:48  12   PESA change: esa_mcpl              ba ab
;  1996-01-27/04:10:22  12   PESA change: esa_mcpl              ab b2
;  1996-01-27/04:23:27  12   PESA change: esa_mcpl              b2 b6
;  1996-01-27/04:36:33  12   PESA change: esa_mcpl              b6 ba
;  1996-01-27/04:49:39  12   PESA change: esa_mcpl              ba ab
1996-01-27/04:40:00     .6   3.e-6      

;  1996-02-01/18:36:58  12   PESA change: esa_mcpl              ab b2
1996-02-01/18:25:10     .9   1.e-6    

;  1996-02-04/02:03:09  12   PESA change: esa_mcpl              b2 ae
;  1996-02-04/02:16:15  12   PESA change: esa_mcpl              ae b2
;  1996-02-04/02:29:21  12   PESA change: esa_mcpl              b2 b6
;  1996-02-04/02:42:27  12   PESA change: esa_mcpl              b6 ab
;  1996-02-04/04:01:01  12   PESA change: esa_mcpl              ab ae
;  1996-02-04/04:14:07  12   PESA change: esa_mcpl              ae b2
;  1996-02-04/04:27:12  12   PESA change: esa_mcpl              b2 b6
;  1996-02-04/04:40:18  12   PESA change: esa_mcpl              b6 ab
1996-02-04/05:00:00     .5   3.e-6 

;  1996-02-11/13:27:28  12   PESA change: esa_mcpl              ab b2
1996-02-11/13:22:36     .87  1.e-6 

;  1996-04-30/02:05:07  12   PESA change: esa_mcpl              b2 ae
;  1996-04-30/02:18:36  12   PESA change: esa_mcpl              ae b2
;  1996-04-30/02:32:05  12   PESA change: esa_mcpl              b2 ba
;  1996-04-30/02:45:34  12   PESA change: esa_mcpl              ba ab
;  1996-04-30/04:06:28  12   PESA change: esa_mcpl              ab ae
;  1996-04-30/04:19:56  12   PESA change: esa_mcpl              ae b2
;  1996-04-30/04:33:25  12   PESA change: esa_mcpl              b2 ba
;  1996-04-30/04:46:54  12   PESA change: esa_mcpl              ba ab
1996-04-30/05:00:00     .2   3.e-6 
   
