   Notable events in the life of the Wind 3D Plasma Experiment

!  1994-11-16/04:52:03  12   EESAX change: bth_offset            00 5a
!  1994-11-16/04:52:03  12   EESAX change: bth_mult              00 a4

!  1994-11-16/6         20   Perigee #1 ???

!  1994-11-16/13:53:36  10   Command #36 (2) [a0f5000000] 
!  1994-11-16/13:53:36  30   New mode: < x  2B S>

!  1994-11-16/13:54:22  30   New mode: <    2B S>

!  1994-11-16/14:07:24  10   Command #37 (1) [a0d9000000] 

!  1994-11-16/14:08:56  10   Command #40 (3) [a1e4100000] 

!  1994-11-16/14:09:42  10   Command #44 (4) [a1e4100000] 

!  1994-11-16/14:10:28  10   Command #47 (3) [a1e4100000] 

!  1994-11-16/14:11:14  10   MAIN Version:  0
!  1994-11-16/14:11:14  10   PESA Version:  0
!  1994-11-16/14:11:14  10   EESA Version:  0
!  1994-11-16/14:11:14  10   EESA Reset (204)
!  1994-11-16/14:11:14  10   Command #48 (1) [0101000000] 

!  1994-11-16/14:12:00  10   MAIN Version: 11
!  1994-11-16/14:12:00  10   PESA Version: 43
!  1994-11-16/14:12:00  10   EESA Version: 43
!  1994-11-16/14:12:00  10   MAIN Reset (1)
!  1994-11-16/14:12:00  10   PESA Reset (1)
!  1994-11-16/14:12:00  10   EESA Reset (2)
!  1994-11-16/14:12:00  10   Command #0 (208) [0000000000] 
!  1994-11-16/14:12:00  30   New mode: <E   2  S>

!  1994-11-16/14:12:46  30   New mode: <    2  S>

!  1994-11-18/08:00:32  10   Command #2 (2) [a0f5000000] 
!  1994-11-18/08:00:32  30   New mode: < x  2 M >

!  1994-11-18/08:01:18  30   New mode: <    2 M >

!  1994-11-18/20:01:12  10   Command #4 (2) [a0f5000000] 
!  1994-11-18/20:01:12  30   New mode: < x  2  S>

!  1994-11-18/20:01:58  30   New mode: <    2  S>

!  1994-11-19/09:46:55  12   EESAX change: low_blank             04 84

!  1994-11-19/09:47:08  12   EESAX change: low_blank             84 04

!  1994-11-20/14:44:11  12   EESA change: inst_config           03 04
!  1994-11-20/14:44:11  12   EESA change: esa_swp_high          e47f e43b
!  1994-11-20/14:44:11  12   EESA change: esa_swp_low           e4a4 e43b
!  1994-11-20/14:44:11  12   EESA change: min_swp_level         0200 0100
!  1994-11-20/14:44:11  12   EESA change: step_swp_level        0080 0010
!  1994-11-20/14:44:11  12   EESA change: esa_pmt               92 00
!  1994-11-20/14:44:11  12   EESA change: esa_mcph              7b 00
!  1994-11-20/14:44:11  12   EESA change: esa_mcpl              a1 00

!  1994-11-20/14:44:10  10   MAIN Reset (0)
!  1994-11-20/14:44:10  10   PESA Reset (0)
!  1994-11-20/14:44:10  10   EESA Reset (1)
!  1994-11-20/14:44:10  10   Command #12 (8) [a092000000] 

!  1994-11-20/14:47:14  10   Command #13 (1) [a1e4700000] 
!  1994-11-20/14:47:14  10   EESA HV On
EESA High voltage enabled for the first time

???
EESA PMT test

???
EESA Pulse Height Distribution test

!  1994-11-20/14:48:00  10   Command #14 (1) [a072554455] 

!  1994-11-20/14:50:49  12   EESA change: min_swp_level         0100 0200

!  1994-11-20/14:51:04  10   Command #15 (1) [a1d7160200] 

!  1994-11-20/14:52:16  12   EESA change: min_swp_level         0200 0300

!  1994-11-20/14:52:36  10   Command #16 (1) [a1d7160300] 

!  1994-11-20/14:53:56  12   EESA change: min_swp_level         0300 0400

!  1994-11-20/14:54:08  10   Command #17 (1) [a1d7160400] 

!  1994-11-20/14:58:42  12   EESA change: esa_pmt               00 30

!  1994-11-20/14:58:44  10   Command #18 (1) [a1d63b0030] 

!  1994-11-20/14:59:30  10   Command #19 (1) [a1e4700000] 

!  1994-11-20/15:00:46  12   EESA change: esa_pmt               30 60

!  1994-11-20/15:01:02  10   Command #21 (2) [a1e4700000] 

!  1994-11-20/15:02:38  12   EESA change: esa_pmt               60 80

!  1994-11-20/15:03:20  10   Command #22 (1) [a1d63b0080] 

!  1994-11-20/15:04:18  12   EESA change: esa_pmt               80 8c

!  1994-11-20/15:04:06  10   Command #23 (1) [a1e4700000] 

!  1994-11-20/15:05:32  12   EESA change: esa_pmt               8c 92

!  1994-11-20/15:04:52  10   Command #25 (2) [a1e4700000] 

!  1994-11-20/15:05:38  10   Command #26 (1) [a1d63b0092] 

!  1994-11-20/15:06:24  10   Command #27 (1) [a1e4700000] 

!  1994-11-20/15:07:37  12   EESA change: esa_mcph              00 20

!  1994-11-20/15:07:56  10   Command #29 (2) [a1e4700000] 

!  1994-11-20/15:11:33  12   EESA change: esa_mcph              20 40

!  1994-11-20/15:11:46  10   Command #31 (2) [a1e4700000] 

!  1994-11-20/15:14:27  12   EESA change: esa_mcph              40 60

!  1994-11-20/15:14:50  10   Command #33 (2) [a1e4700000] 

!  1994-11-20/15:18:11  12   EESA change: esa_mcph              60 64

!  1994-11-20/15:18:40  10   Command #35 (2) [a1e4700000] 

!  1994-11-20/15:23:10  12   EESA change: esa_mcph              64 68

!  1994-11-20/15:23:16  10   Command #37 (2) [a1e4700000] 

!  1994-11-20/15:26:04  12   EESA change: esa_mcph              68 6c

!  1994-11-20/15:26:20  10   Command #39 (2) [a1e4700000] 

!  1994-11-20/15:28:46  12   EESA change: esa_mcph              6c 70

!  1994-11-20/15:28:38  10   Command #40 (1) [a1d63c0070] 

!  1994-11-20/15:29:24  10   Command #41 (1) [a1e4700000] 

!  1994-11-20/15:30:13  12   EESA change: esa_mcph              70 74

!  1994-11-20/15:30:10  10   Command #42 (1) [a1d63c0074] 

!  1994-11-20/15:31:40  12   EESA change: esa_mcph              74 76

!  1994-11-20/15:30:56  10   Command #43 (1) [a1e4700000] 

!  1994-11-20/15:31:42  10   Command #44 (1) [a1d63c0076] 

!  1994-11-20/15:32:28  10   Command #45 (1) [a1e4700000] 

!  1994-11-20/15:33:19  12   EESA change: esa_mcph              76 78

!  1994-11-20/15:33:14  10   Command #46 (1) [a1d63c0078] 

!  1994-11-20/15:34:00  10   Command #47 (1) [a1e4700000] 

!  1994-11-20/15:35:49  12   EESA change: esa_mcph              78 79

!  1994-11-20/15:36:18  10   Command #49 (2) [a1e4700000] 

!  1994-11-20/15:38:55  12   EESA change: esa_mcph              79 7a

!  1994-11-20/15:39:22  10   Command #51 (2) [a1e4700000] 

!  1994-11-20/15:41:00  12   EESA change: esa_mcph              7a 7b

!  1994-11-20/15:41:40  10   Command #53 (2) [a1e4700000] 

!  1994-11-20/15:48:27  12   EESA change: esa_mcpl              00 20

!  1994-11-20/15:48:34  10   Command #54 (1) [a1d63d0020] 

!  1994-11-20/15:49:20  10   Command #55 (1) [a1e4700000] 

!  1994-11-20/15:51:22  12   EESA change: esa_mcpl              20 40

!  1994-11-20/15:51:38  10   Command #57 (2) [a1e4700000] 

!  1994-11-20/15:53:01  12   EESA change: esa_mcpl              40 60

!  1994-11-20/15:53:10  10   Command #59 (2) [a1e4700000] 

!  1994-11-20/15:54:28  12   EESA change: esa_mcpl              60 80

!  1994-11-20/15:54:42  10   Command #61 (2) [a1e4700000] 

!  1994-11-20/15:57:47  12   EESA change: esa_mcpl              80 88

!  1994-11-20/15:57:46  10   Command #62 (1) [a1d63d0088] 

!  1994-11-20/15:58:32  10   Command #63 (1) [a1e4700000] 

!  1994-11-20/16:02:46  12   EESA change: esa_mcpl              88 90

!  1994-11-20/16:03:36  12   EESA change: esa_mcpl              90 94

!  1994-11-20/16:03:08  10   Command #65 (2) [a1e4700000] 

!  1994-11-20/16:03:54  10   Command #67 (2) [a1e4700000] 

!  1994-11-20/16:05:40  12   EESA change: esa_mcpl              94 96

!  1994-11-20/16:06:12  10   Command #69 (2) [a1e4700000] 

!  1994-11-20/16:07:07  12   EESA change: esa_mcpl              96 98

!  1994-11-20/16:06:58  10   Command #70 (1) [a1d63d0098] 

!  1994-11-20/16:07:44  10   Command #71 (1) [a1e4700000] 

!  1994-11-20/16:10:14  12   EESA change: esa_mcpl              98 9a

!  1994-11-20/16:10:48  10   Command #73 (2) [a1e4700000] 

!  1994-11-20/16:12:43  12   EESA change: esa_mcpl              9a 9c

!  1994-11-20/16:13:06  10   Command #75 (2) [a1e4700000] 

!  1994-11-20/16:14:10  12   EESA change: esa_mcpl              9c 9e

!  1994-11-20/16:14:38  10   Command #77 (2) [a1e4700000] 

!  1994-11-20/16:16:27  12   EESA change: esa_mcpl              9e 9f

!  1994-11-20/16:16:56  10   Command #79 (2) [a1e4700000] 

!  1994-11-20/16:18:06  12   EESA change: esa_mcpl              9f a0

!  1994-11-20/16:18:28  10   Command #81 (2) [a1e4700000] 

!  1994-11-20/16:19:46  12   EESA change: esa_mcpl              a0 a1

!  1994-11-20/16:20:00  10   Command #82 (1) [a1d63d00a1] 

!  1994-11-20/16:20:46  10   Command #83 (1) [a1e4700000] 

!  1994-11-20/16:22:15  12   EESA change: min_swp_level         0400 0500
!  1994-11-20/16:22:15  12   EESA change: step_swp_level        0010 0080

!  1994-11-20/16:22:18  10   Command #85 (2) [a1d7160500] 

!  1994-11-20/16:28:41  12   EESA change: min_swp_level         0500 0600

!  1994-11-20/16:29:12  10   Command #86 (1) [a1d7160600] 

!  1994-11-20/16:55:01  12   EESA change: min_swp_level         0600 0700

!  1994-11-20/16:55:16  10   Command #87 (1) [a1d7160700] 

!  1994-11-20/16:57:18  12   EESA change: min_swp_level         0700 0800

!  1994-11-20/16:57:34  10   Command #88 (1) [a1d7160800] 

!  1994-11-20/17:01:14  12   EESA change: esa_swp_high          e43b e47f
!  1994-11-20/17:01:14  12   EESA change: esa_swp_low           e43b e4a4
!  1994-11-20/17:01:14  12   EESA change: min_swp_level         0800 0200

!  1994-11-20/17:00:38  10   EESA Reset (2)

!  1994-11-20/17:01:24  10   Command #94 (6) [a092000000] 

!  1994-11-20/17:05:14  10   Command #95 (1) [a072554455] 

!  1994-11-20/17:15:58  10   Command #96 (1) [a1d6010044] 

!  1994-11-20/18:18:04  10   Command #99 (3) [a0d1000000] 

!  1994-11-20/20:52:10  10   EESA Reset (5)
!  1994-11-20/20:52:10  10   Command #108 (9) [a092000000] 

!  1994-11-20/21:01:44  12   EESA change: inst_config           04 03
!  1994-11-20/21:01:44  12   EESA change: fpc_mode              a2 23

!  1994-11-20/21:06:44  10   Command #109 (1) [a062000000] 

!  1994-11-20/21:31:16  10   EESA Reset (6)
!  1994-11-20/21:31:16  10   Command #112 (3) [a092000000] 

!  1994-11-20/21:41:32  12   EESA change: s2d_l                 015e 0300

!  1994-11-21/14:57:00  10   Command #114 (2) [a1d23400ff] 

!  1994-11-21/14:58:32  10   Command #115 (1) [a1b0fc00f8] 

!  1994-11-21/15:03:54  10   Command #117 (2) [a1b0fc00f8] 

!  1994-11-21/15:09:16  10   Command #119 (2) [a1b0fc00f8] 

!  1994-11-21/15:13:06  10   Command #120 (1) [a1d23400fc] 

!  1994-11-21/15:14:38  10   Command #121 (1) [a1b0fc00f8] 

!  1994-11-21/15:20:00  10   Command #123 (2) [a1b0fc00f8] 

!  1994-11-21/15:24:36  10   Command #124 (1) [a1d2340000] 

!  1994-11-21/14:47:53  12   PESA change: inst_config           03 04
!  1994-11-21/14:47:53  12   PESA change: inst_mode             00 44
!  1994-11-21/14:47:53  12   PESA change: esa_swp_high          e30c e2c8
!  1994-11-21/14:47:53  12   PESA change: esa_swp_low           e331 e2c8
!  1994-11-21/14:47:53  12   PESA change: min_swp_level         0200 0010
!  1994-11-21/14:47:53  12   PESA change: step_swp_level        0080 0010
!  1994-11-21/14:47:53  12   PESA change: esa_pmt               92 00
!  1994-11-21/14:47:53  12   PESA change: esa_mcph              a5 00
!  1994-11-21/14:47:53  12   PESA change: esa_mcpl              a4 00

!  1994-11-21/15:31:30  10   EESA Reset (0)

!  1994-11-21/15:32:16  10   Command #13 (145) [a1e8700000] 

!  1994-11-21/15:33:48  10   PESA Reset (1)

!  1994-11-21/15:34:34  10   Command #14 (1) [a094000000] 

!  1994-11-21/15:35:20  10   PESA HV On
PESA High voltage enabled for the first time

!  1994-11-21/15:36:06  10   Command #15 (1) [a074227722] 

!  1994-11-21/15:37:02  12   PESA change: min_swp_level         0010 0200

!  1994-11-21/15:37:38  10   Command #16 (1) [a1db160200] 

!  1994-11-21/15:40:34  12   PESA change: min_swp_level         0200 0300

!  1994-11-21/15:40:42  10   Command #17 (1) [a1db160300] 

!  1994-11-21/15:42:26  12   PESA change: min_swp_level         0300 0400

!  1994-11-21/15:43:00  10   Command #18 (1) [a1db160400] 

!  1994-11-21/15:45:20  12   PESA change: min_swp_level         0400 1080
!  1994-11-21/15:45:20  12   PESA change: step_swp_level        0010 000c

!  1994-11-21/15:45:18  10   Command #20 (2) [a1db18000c] 

!  1994-11-21/15:49:53  12   PESA change: esa_pmt               00 30

!  1994-11-21/15:49:54  10   Command #21 (1) [a1da410030] 

!  1994-11-21/15:50:40  10   Command #22 (1) [a1e8700000] 

!  1994-11-21/15:51:58  12   PESA change: esa_pmt               30 60

!  1994-11-21/15:52:12  10   Command #24 (2) [a1e8700000] 

!  1994-11-21/15:54:52  12   PESA change: esa_pmt               60 80

!  1994-11-21/15:55:16  10   Command #26 (2) [a1e8700000] 

!  1994-11-21/15:57:58  12   PESA change: esa_pmt               80 8c

!  1994-11-21/15:58:20  10   Command #28 (2) [a1e8700000] 

!  1994-11-21/16:00:15  12   PESA change: esa_pmt               8c 92

!  1994-11-21/16:00:38  10   Command #30 (2) [a1e8700000] 

!  1994-11-21/16:03:09  12   PESA change: esa_mcph              00 20

!  1994-11-21/16:03:42  10   Command #32 (2) [a1e8700000] 

!  1994-11-21/16:05:01  12   PESA change: esa_mcph              20 40

!  1994-11-21/16:05:14  10   Command #34 (2) [a1e8700000] 

!  1994-11-21/16:06:41  12   PESA change: esa_mcph              40 60

!  1994-11-21/16:06:46  10   Command #35 (1) [a1da420060] 

!  1994-11-21/16:07:55  12   PESA change: esa_mcph              60 80

!  1994-11-21/16:07:32  10   Command #36 (1) [a1e8700000] 

!  1994-11-21/16:08:18  10   Command #38 (2) [a1e8700000] 

!  1994-11-21/16:09:22  12   PESA change: esa_mcph              80 88

!  1994-11-21/16:09:50  10   Command #40 (2) [a1e8700000] 

!  1994-11-21/16:12:16  12   PESA change: esa_mcph              88 90

!  1994-11-21/16:12:54  10   Command #42 (2) [a1e8700000] 

!  1994-11-21/16:14:21  12   PESA change: esa_mcph              90 94

!  1994-11-21/16:14:26  10   Command #43 (1) [a1da420094] 

!  1994-11-21/16:15:12  10   Command #44 (1) [a1e8700000] 

!  1994-11-21/16:16:00  12   PESA change: esa_mcph              94 98

!  1994-11-21/16:15:58  10   Command #45 (1) [a1da420098] 

!  1994-11-21/16:16:44  10   Command #46 (1) [a1e8700000] 

!  1994-11-21/16:18:18  12   PESA change: esa_mcph              98 9a

!  1994-11-21/16:18:16  10   Command #47 (1) [a1da42009a] 

!  1994-11-21/16:19:02  10   Command #48 (1) [a1e8700000] 

!  1994-11-21/16:20:35  12   PESA change: esa_mcph              9a 9c

!  1994-11-21/16:20:34  10   Command #49 (1) [a1da42009c] 

!  1994-11-21/16:21:20  10   Command #50 (1) [a1e8700000] 

!  1994-11-21/16:22:39  12   PESA change: esa_mcph              9c 9e

!  1994-11-21/16:22:52  10   Command #52 (2) [a1e8700000] 

!  1994-11-21/16:24:56  12   PESA change: esa_mcph              9e a0

!  1994-11-21/16:25:10  10   Command #54 (2) [a1e8700000] 

!  1994-11-21/16:26:35  12   PESA change: esa_mcph              a0 a2

!  1994-11-21/16:26:42  10   Command #56 (2) [a1e8700000] 

!  1994-11-21/16:29:05  12   PESA change: esa_mcph              a2 a3

!  1994-11-21/16:29:00  10   Command #57 (1) [a1da4200a3] 

!  1994-11-21/16:29:46  10   Command #58 (1) [a1e8700000] 

!  1994-11-21/16:31:21  12   PESA change: esa_mcph              a3 a4

!  1994-11-21/16:31:18  10   Command #59 (1) [a1da4200a4] 

!  1994-11-21/16:32:04  10   Command #60 (1) [a1e8700000] 

!  1994-11-21/16:33:26  12   PESA change: esa_mcph              a4 a5

!  1994-11-21/16:33:36  10   Command #62 (2) [a1e8700000] 

!  1994-11-21/16:36:08  12   PESA change: esa_mcpl              00 20

!  1994-11-21/16:36:40  10   Command #64 (2) [a1e8700000] 

!  1994-11-21/16:37:35  12   PESA change: esa_mcpl              20 40

!  1994-11-21/16:37:26  10   Command #65 (1) [a1da430040] 

!  1994-11-21/16:38:49  12   PESA change: esa_mcpl              40 60

!  1994-11-21/16:38:12  10   Command #66 (1) [a1e8700000] 

!  1994-11-21/16:38:58  10   Command #68 (2) [a1e8700000] 

!  1994-11-21/16:39:52  12   PESA change: esa_mcpl              60 80

!  1994-11-21/16:40:30  10   Command #70 (2) [a1e8700000] 

!  1994-11-21/16:41:31  12   PESA change: esa_mcpl              80 88

!  1994-11-21/16:42:02  10   Command #72 (2) [a1e8700000] 

!  1994-11-21/16:42:58  12   PESA change: esa_mcpl              88 90

!  1994-11-21/16:43:34  10   Command #74 (2) [a1e8700000] 

!  1994-11-21/16:44:25  12   PESA change: esa_mcpl              90 94

!  1994-11-21/16:44:20  10   Command #75 (1) [a1da430094] 

!  1994-11-21/16:45:06  10   Command #76 (1) [a1e8700000] 

